,영화명,개봉일,매출액,관객수,스크린수,상영횟수,배급사,영화코드,장르,감독,기사수,배우,관객평점,링크,감독수상,감독파워
122,동주,20160217,8889077089,1172641,543,39958,메가박스중앙(주)플러스엠,20158482,드라마,이준익,20580,강하늘|박정민|김인우|,9.36,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134899,97,8
123,미씽: 사라진 여자,20161130,8881616256,1153109,790,40617,메가박스중앙(주)플러스엠,20153741,미스터리,이언희,7435,엄지원|공효진|,8.37,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142625,4,0
124,"당신, 거기 있어줄래요",20161214,8999085248,1124815,767,39181,롯데쇼핑㈜롯데엔터테인먼트,20152371,판타지,홍지영,6878,김윤석|변요한|채서진|,8.68,https://movie.naver.com/movie/bi/mi/basic.nhn?code=145292,2,0
125,오빠생각,20160121,8060591287,1069864,855,44801,(주)넥스트엔터테인먼트월드(NEW),20158483,드라마,이한,39124,임시완|고아성|,8.5,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136686,3,2
126,"날, 보러와요",20160407,8836144063,1063442,683,49237,메가박스중앙(주)플러스엠,20152782,미스터리,이철하,10263,강예원|이상윤|최진호|,7.26,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140718,0,0
127,"고산자, 대동여지도",20160907,7801007258,974262,765,38048,씨제이이앤엠(주),20159648,사극,강우석,6543,차승원|유준상|,7.22,https://movie.naver.com/movie/bi/mi/basic.nhn?code=133129,44,1
128,좋아해줘,20160217,6572774337,848148,637,27125,씨제이이앤엠(주),20150977,멜로/로맨스,박현진,12343,이미연|최지우|김주혁|유아인|강하늘|이솜|,8.21,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136893,1,0
129,스플릿,20161109,6102712539,758195,702,32616,오퍼스픽쳐스,20163521,드라마,최국희,4978,유지태|이정현|이다윗|정성화|,8.99,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146512,0,0
130,국가대표 2,20160810,5482232042,709929,562,20689,메가박스중앙(주)플러스엠,20150968,드라마,김종현,34983,수애|오달수|오연서|,8.67,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141824,0,0
131,그날의 분위기,20160114,5149571612,653287,592,27186,(주)쇼박스,20068576,멜로/로맨스,조규장,17341,문채원|유연석|,6.52,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62285,0,0
132,사냥,20160629,4912658515,645922,696,28862,롯데쇼핑㈜롯데엔터테인먼트,20154906,액션,이우철,50370,안성기|조진웅|한예리|권율|,6.15,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136899,0,0
133,널 기다리며,20160310,5234303336,635235,551,33774,(주)넥스트엔터테인먼트월드(NEW),20145396,스릴러,모홍진,4296,심은경|윤제문|김성오|,7.59,https://movie.naver.com/movie/bi/mi/basic.nhn?code=124031,1,0
134,가려진 시간,20161116,3946462400,510878,884,30404,(주)쇼박스,20154905,드라마,엄태화,9517,강동원|신은수|이효제|,8.45,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141259,3,0
135,해어화,20160413,3768200759,485695,572,32322,롯데쇼핑㈜롯데엔터테인먼트,20145506,사극,박흥식,9053,한효주|유연석|천우희|박성웅|,8.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120165,7,0
136,계춘할망,20160519,3600794348,482516,526,19644,(주)콘텐츠 난다긴다,20156559,가족,창,6959,윤여정|김고은|,8.78,https://movie.naver.com/movie/bi/mi/basic.nhn?code=132998,1,0
137,"로봇, 소리",20160127,3519595560,476665,609,25502,롯데쇼핑㈜롯데엔터테인먼트,20157466,드라마,이호재,12118,이성민|이희준|이하늬|김원해|채수빈|심은경|,8.47,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136821,4,0
138,위대한 소원,20160421,2440004213,308398,524,22769,(주)넥스트엔터테인먼트월드(NEW),20159641,코미디,남대중,3418,류덕환|김동영|안재홍|전노민|전미선|,7.85,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136687,0,0
139,혼숨,20161026,2258422445,288016,498,14510,(주)프레인글로벌,20150564,공포(호러),이두환,584,류덕환|조복래|,7.41,https://movie.naver.com/movie/bi/mi/basic.nhn?code=145335,0,0
140,비밀은 없다,20160623,2029410239,250829,502,14749,씨제이이앤엠(주),20140704,스릴러,이경미,46745,손예진|김주혁|,6.54,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125802,16,0
141,순정,20160224,1738293033,240484,467,10545,(주)리틀빅픽쳐스,20151021,드라마,이은희,43766,디오|김소현|연준석|이다윗|주다영|김지호|박해준|박용우|이대연|,8.8,https://movie.naver.com/movie/bi/mi/basic.nhn?code=139674,0,0
142,남과 여,20160225,1651122533,203775,449,9790,(주)쇼박스,20145502,멜로/로맨스,이윤기,8609,전도연|공유|,7.92,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122133,8,0
143,대배우,20160330,1246200228,169984,474,16517,"(주)대명문화공장,(주)리틀빅픽쳐스",20150902,코미디,석민우,8264,오달수|윤제문|이경영|,5.77,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136824,1,0
144,무서운 이야기 3 : 화성에서 온 소녀,20160601,784148500,97804,317,6407,롯데쇼핑㈜롯데엔터테인먼트,20158242,공포(호러),백승빈,2236,임슬옹|경수진|박정민|홍은희|차지연|,5.8,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144310,0,0
145,걷기왕,20161020,710905075,95542,462,10476,CGV아트하우스,20151022,드라마,백승화,3451,심은경|박주희|,7.72,https://movie.naver.com/movie/bi/mi/basic.nhn?code=145804,1,0
146,엽기적인 그녀 2,20160512,594260900,77124,387,6132,(주)리틀빅픽쳐스,20143509,멜로/로맨스,조근식,9436,차태현|빅토리아|,2.83,https://movie.naver.com/movie/bi/mi/basic.nhn?code=128273,3,0
147,번개맨,20160211,517127000,69363,393,4644,씨네그루(주)키다리이엔티,20150903,판타지,조근현,1231,정현진|루나|,6.24,https://movie.naver.com/movie/bi/mi/basic.nhn?code=139699,9,0
148,올레,20160825,522938900,66883,338,5126,"(주)대명문화공장,(주)리틀빅픽쳐스",20150901,드라마,채두병,29095,신하균|박희순|오만석|유다인|,7.44,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140730,1,0
149,두 남자,20161130,459566121,60365,397,7199,씨네그루(주)키다리이엔티,20160472,범죄,이성태,54356,마동석|최민호|,6.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154366,0,0
150,목숨 건 연애,20161214,361668800,47805,393,5786,오퍼스픽쳐스,20155223,멜로/로맨스,송민규,6511,하지원|천정명|진백림|,4.31,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142263,0,0
151,트릭,20160713,297957300,38262,390,5939,"(주)스톰픽쳐스코리아,(주)이수C&E",20158982,스릴러,이창열,8342,이정진|강예원|김태훈|,5.69,https://movie.naver.com/movie/bi/mi/basic.nhn?code=145414,0,0
152,대결,20160922,251176500,32278,366,5409,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",20162022,액션,신동엽,167636,,0.0,,0,0
153,인천상륙작전 : 익스텐디드 에디션(확장판),20160913,220051200,27070,122,1522,씨제이이앤엠(주),20160041,전쟁,이재한,349,이정재|이범수|리암 니슨|진세연|,6.68,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153449,8,2
154,히야,20160310,173844100,21687,124,1444,(주)라이크 콘텐츠,20161722,드라마,김지연,1749,안보현|호야|박철민|강성미|강민아|,8.43,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129096,1,0
155,무수단,20160303,126155400,15882,228,2422,오퍼스픽쳐스,20152541,미스터리,구모,3330,이지아|김민준|,3.06,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137944,0,0
156,택시운전사,20170802,95853645649,12186327,1906,184075,(주)쇼박스,20162869,드라마,장훈,30684,송강호|토마스 크레취만|유해진|류준열|,9.05,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146469,45,2
157,신과함께-죄와 벌,20171220,68350496432,8539495,1912,91301,롯데쇼핑㈜롯데엔터테인먼트,20150976,판타지,김용화,18519,하정우|차태현|주지훈|김향기|김동욱|마동석|,7.84,https://movie.naver.com/movie/bi/mi/basic.nhn?code=85579,38,8
158,공조,20170118,63783051326,7817618,1392,142989,씨제이이앤엠(주),20151228,액션,김성훈,33457,현빈|유해진|김주혁|,8.27,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142384,3,2
159,범죄도시,20171003,56318014149,6879841,1315,149334,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",20172742,범죄,강윤성,35216,마동석|윤계상|,9.14,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161242,6,1
160,군함도,20170726,50510565168,6592151,2027,108775,씨제이이앤엠(주),20161481,액션,류승완,27214,황정민|소지섭|송중기|이정현|김수안|,5.28,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146506,47,6
161,청년경찰,20170809,44381150516,5653270,1102,118544,롯데쇼핑㈜롯데엔터테인먼트,20162442,액션,김주환,24506,박서준|강하늘|,8.33,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153652,3,1
162,더 킹,20170118,43488814535,5317693,1310,107983,(주)넥스트엔터테인먼트월드(NEW),20151229,범죄,한재림,26041,조인성|정우성|배성우|김아중|류준열|,8.08,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144314,30,2
163,꾼,20171122,31312029795,4018035,1314,117398,(주)쇼박스,20165748,범죄,장창원,14127,현빈|유지태|배성우|박성웅|나나|안세하|,7.64,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152385,0,0
164,강철비,20171214,31994897566,4014293,1426,66760,(주)넥스트엔터테인먼트월드(NEW),20170402,액션,양우석,11193,정우성|곽도원|,8.35,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155665,28,1
165,남한산성,20171003,31225083792,3849087,1229,71101,씨제이이앤엠(주),20165450,사극,황동혁,15819,이병헌|김윤석|박해일|고수|박희순|,8.05,https://movie.naver.com/movie/bi/mi/basic.nhn?code=150637,27,2
166,아이 캔 스피크,20170921,25526451186,3279296,1140,93012,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",20174142,코미디,김현석,9984,나문희|이제훈|,9.36,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161850,25,0
167,프리즌,20170323,23790276987,2931897,1047,89024,(주)쇼박스,20162181,범죄,나현,9416,한석규|김래원|강신일|,7.58,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146517,3,0
168,살인자의 기억법,20170906,21375287492,2658589,1064,88686,(주)쇼박스,20154909,범죄,원신연,9052,설경구|김남길|설현|오달수|,7.69,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137890,10,0
169,보안관,20170503,20844488409,2588628,1091,63709,롯데쇼핑㈜롯데엔터테인먼트,20162722,범죄,김형주,11809,이성민|조진웅|김성균|,7.89,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146524,0,0
170,조작된 도시,20170209,20143992587,2515501,1019,62241,씨제이이앤엠(주),20150964,범죄,박광현,12437,지창욱|심은경|안재홍|,8.03,https://movie.naver.com/movie/bi/mi/basic.nhn?code=127382,7,1
171,재심,20170215,19266319637,2421197,935,68402,"오퍼스픽쳐스,CGV아트하우스",20166421,드라마,김태윤,12295,정우|강하늘|김해숙|,8.5,https://movie.naver.com/movie/bi/mi/basic.nhn?code=149512,0,0
172,박열,20170628,18093639795,2359206,1176,78499,메가박스중앙(주)플러스엠,20178982,드라마,이준익,13843,이제훈|최희서|김인우|,8.09,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155716,97,8
173,1987,20171227,15254004037,1942077,1299,27619,씨제이이앤엠(주),20170590,드라마,장준환,60507,김윤석|하정우|유해진|김태리|박희순|이희준|,9.24,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158191,31,1
174,노무현입니다,20170525,14556517612,1855149,775,61327,"CGV아트하우스,영화사 풀",20174602,다큐멘터리,이창재,33807,<b>노무현</b>|,8.93,https://movie.naver.com/movie/bi/mi/basic.nhn?code=162173,0,0
175,임금님의 사건수첩,20170426,12651193723,1635003,1054,53005,씨제이이앤엠(주),20161726,코미디,문현성,4539,이선균|안재홍|,7.71,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144280,1,0
176,부라더,20171102,11783109998,1492903,889,54975,메가박스중앙(주)플러스엠,20172603,코미디,장유정,5655,마동석|이동휘|이하늬|,7.27,https://movie.naver.com/movie/bi/mi/basic.nhn?code=160749,0,0
177,기억의 밤,20171129,10646654660,1386611,759,52847,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",20173581,미스터리,장항준,47648,강하늘|김무열|,8.16,https://movie.naver.com/movie/bi/mi/basic.nhn?code=160399,2,0
178,브이아이피,20170823,10956621835,1373316,996,44650,워너브러더스 코리아(주),20164174,범죄,박훈정,6476,장동건|김명민|박희순|이종석|,6.5,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152170,11,0
179,특별시민,20170426,10494768945,1362634,1154,46377,(주)쇼박스,20162871,드라마,박인제,53910,최민식|곽도원|심은경|문소리|라미란|류혜영|이기홍|,7.39,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146485,0,0
180,장산범,20170817,10341783083,1306438,711,34768,(주)넥스트엔터테인먼트월드(NEW),20151003,미스터리,허정,4351,염정아|박혁권|,6.17,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137696,2,1
181,악녀,20170608,9739662144,1208081,685,46070,(주)넥스트엔터테인먼트월드(NEW),20162343,액션,정병길,20383,김옥빈|신하균|성준|김서형|조은지|,6.95,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155256,10,0
182,해빙,20170301,9905406822,1204600,915,46227,롯데쇼핑㈜롯데엔터테인먼트,20150971,스릴러,이수연,6742,조진웅|신구|김대명|,6.5,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137875,2,0
183,하루,20170615,9072737842,1129609,781,45808,CGV아트하우스,20166384,스릴러,조선호,371130,김명민|변요한|유재명|,7.08,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152168,1,0
184,불한당: 나쁜 놈들의 세상,20170517,7587004625,939535,860,37913,씨제이이앤엠(주),20164844,범죄,변성현,7822,설경구|임시완|,6.19,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154112,10,0
185,대립군,20170531,6276963402,837500,809,29084,이십세기폭스코리아(주),20169348,드라마,정윤철,7200,이정재|여진구|김무열|,7.29,https://movie.naver.com/movie/bi/mi/basic.nhn?code=149221,18,1
186,아빠는 딸,20170412,5054757395,647305,586,33263,메가박스중앙(주)플러스엠,20151227,코미디,김형협,53393,윤제문|정소민|,8.07,https://movie.naver.com/movie/bi/mi/basic.nhn?code=143473,0,0
187,침묵,20171102,3930219264,494097,634,23228,씨제이이앤엠(주),20169643,드라마,정지우,37609,최민식|박신혜|류준열|이하늬|,7.77,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153642,19,0
188,리얼,20170628,3357312530,470105,970,25139,씨제이이앤엠(주),20159647,액션,이사랑,183843,김수현|이성민|성동일|,4.23,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137008,0,0
189,반드시 잡는다,20171129,3326439772,446780,565,24559,(주)넥스트엔터테인먼트월드(NEW),20161762,스릴러,김홍선,3555,백윤식|성동일|,7.51,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155411,1,0
190,원라인,20170329,3319035433,435048,613,20788,(주)넥스트엔터테인먼트월드(NEW),20151230,범죄,양경모,6101,임시완|진구|박병은|,8.17,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142699,1,0
191,보통사람,20170323,2956397623,383336,621,19928,오퍼스픽쳐스,20167902,드라마,김봉한,22056,손현주|장혁|,7.96,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152331,1,0
192,대장 김창수,20171019,2879121115,381483,748,21744,"씨네그루(주)키다리이엔티,주식회사 키위컴퍼니",20164424,드라마,이원태,4814,조진웅|송승헌|,6.91,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154353,0,0
193,석조저택 살인사건,20170509,2829106886,353517,539,17925,씨네그루(주)키다리이엔티,20156708,스릴러,정식,3955,고수|김주혁|문성근|박성웅|,7.28,https://movie.naver.com/movie/bi/mi/basic.nhn?code=127346,4,0
194,싱글라이더,20170222,2685519021,351276,576,16746,워너브러더스 코리아(주),20161723,드라마,이주영,7476,이병헌|공효진|안소희|,8.23,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146459,0,0
195,7호실,20171115,2677284639,347790,629,21846,롯데쇼핑㈜롯데엔터테인먼트,20168754,코미디,이용승,4710,신하균|디오|,6.56,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155715,5,0
196,희생부활자,20171012,2515479835,323628,781,23596,(주)쇼박스,20154907,미스터리,곽경택,3057,김래원|김해숙|,6.09,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140696,15,0
197,미옥,20171109,1897705564,238587,635,18099,씨네그루(주)키다리이엔티,20161681,범죄,이안규,3624,김혜수|이선균|,4.99,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142317,1,0
198,어느날,20170405,1846581582,234829,532,17748,"오퍼스픽쳐스,CGV아트하우스",20167901,멜로/로맨스,이윤기,167548,김남길|천우희|,7.69,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146544,9,0
199,채비,20171109,1260467864,177428,480,9981,오퍼스픽쳐스,20175441,드라마,조영준,8711,고두심|김성균|,8.73,https://movie.naver.com/movie/bi/mi/basic.nhn?code=162932,0,0
200,비정규직 특수요원,20170316,1150732700,149719,497,11132,"(주)이수C&E,(주)스톰픽쳐스코리아",20167905,코미디,김덕수,6094,강예원|한채아|,6.02,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152161,0,0
201,로마의 휴일,20170830,993321176,134827,436,10999,메가박스중앙(주)플러스엠,20179407,코미디,이덕희,6480,임창정|공형진|정상훈|,6.81,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155680,0,0
202,시간위의 집,20170405,1020724600,128975,454,10971,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",20161923,미스터리,임대웅,3039,김윤진|택연|조재윤|,7.6,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154214,0,0
203,루시드 드림,20170222,759481000,102170,461,8534,(주)넥스트엔터테인먼트월드(NEW),20156562,SF,김준성,4999,고수|설경구|,5.86,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130713,1,0
204,"그래, 가족",20170215,350293300,46623,361,5294,월트디즈니컴퍼니코리아 유한책임회사,20161366,코미디,마대윤,12899,이요원|정만식|이솜|정준원|,8.33,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151192,0,0
205,역모-반란의 시대,20171123,218173300,30116,355,4100,(주)스톰픽쳐스코리아,20173903,사극,김홍선,2810,정해인|김지훈|이원종|조재윤|,3.9,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142210,0,0
206,이웃집 스타,20170921,78213300,10854,256,2367,(주)스톰픽쳐스코리아,20172964,코미디,김성욱,6325,한채영|진지희|,6.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155218,0,0
207,구세주: 리턴즈,20170914,45622000,6151,124,1197,(주)박수엔터테인먼트,20173826,코미디,송창용,1071,최성국|송삼동|김성경|정이연|김보민|,4.77,https://movie.naver.com/movie/bi/mi/basic.nhn?code=162751,0,0
208,신과함께-인과 연,20180801,102661027909,12274353,2235,179993,롯데컬처웍스(주)롯데엔터테인먼트,20186202,판타지,김용화,15760,하정우|주지훈|김향기|마동석|김동욱|,7.72,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167697,38,8
209,안시성,20180919,46322791026,5438066,1538,110393,(주)넥스트엔터테인먼트월드(NEW),20176122,사극,김광식,15363,조인성|남주혁|박성웅|,8.02,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163533,2,2
210,완벽한 타인,20181031,43551110324,5194618,1325,138505,롯데컬처웍스(주)롯데엔터테인먼트,20177538,드라마,이재규,12795,유해진|조진웅|이서진|염정아|김지수|송하윤|윤경호|,8.69,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167638,0,2
211,독전,20180522,43484892913,5063620,1532,140009,(주)넥스트엔터테인먼트월드(NEW),20179383,범죄,이해영,13460,조진웅|류준열|김주혁|김성령|박해준|,7.55,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158178,13,3
212,공작,20180808,42788405176,4974463,1317,99004,씨제이이앤엠(주),20179101,드라마,윤종빈,39433,황정민|이성민|조진웅|주지훈|,6.83,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153687,24,0
213,암수살인,20181003,32994544548,3789222,1177,126132,(주)쇼박스,20179189,범죄,김태균,8764,김윤석|주지훈|,8.32,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167105,0,0
214,마녀,20180627,27242029463,3189091,1117,90843,워너브러더스 코리아(주),20185341,미스터리,박훈정,41221,김다미|조민수|박희순|최우식|,8.19,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175322,11,0
215,탐정: 리턴즈,20180613,26909465678,3152873,1137,107907,씨제이이앤엠(주),20178161,코미디,이언희,5997,권상우|성동일|이광수|,8.42,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159892,4,0
216,너의 결혼식,20180822,23674540369,2820685,970,98179,메가박스중앙(주)플러스엠,20153446,멜로/로맨스,이석근,11237,박보영|김영광|,8.47,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140652,0,0
217,곤지암,20180328,21442194144,2675575,1124,88504,(주)쇼박스,20180804,공포(호러),정범식,6632,위하준|박지현|오아연|문예원|박성훈|이승욱|유제윤|,6.46,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172454,5,0
218,지금 만나러 갑니다,20180314,20800916128,2602273,1191,97538,롯데쇼핑㈜롯데엔터테인먼트,20170669,멜로/로맨스,이장훈,9915,소지섭|손예진|,8.72,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168298,0,0
219,목격자,20180815,21736545097,2524634,1021,71405,(주)넥스트엔터테인먼트월드(NEW),20170670,스릴러,조규장,26130,이성민|김상호|진경|곽시양|,4.98,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169015,0,0
220,조선명탐정: 흡혈괴마의 비밀,20180208,19822839764,2444145,1249,74987,(주)쇼박스,20179205,사극,김석윤,5073,김명민|오달수|김지원|,6.64,https://movie.naver.com/movie/bi/mi/basic.nhn?code=165748,1,0
221,국가부도의 날,20181128,17919903907,2222059,1180,54306,씨제이이앤엠(주),20177552,드라마,최국희,7876,김혜수|유아인|허준호|조우진|뱅상 카셀|,8.28,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164192,0,0
222,명당,20180919,17894447524,2086418,1115,58423,메가박스중앙(주)플러스엠,20172204,사극,박희곤,14134,조승우|지성|김성균|문채원|유재명|박충선|백윤식|,7.08,https://movie.naver.com/movie/bi/mi/basic.nhn?code=162981,0,0
223,협상,20180919,17028701166,1967149,918,57897,씨제이이앤엠(주),20177308,범죄,이종석,50670,손예진|현빈|,7.4,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164106,0,0
224,창궐,20181025,13275772490,1599290,1351,60693,(주)넥스트엔터테인먼트월드(NEW),20174981,사극,김성훈,11646,현빈|장동건|,5.13,https://movie.naver.com/movie/bi/mi/basic.nhn?code=160487,3,2
225,성난황소,20181122,12829375587,1540004,1010,45908,(주)쇼박스,20184481,범죄,김민호,5825,마동석|송지효|,7.65,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174835,0,0
226,리틀 포레스트,20180228,11927590185,1505997,884,68463,메가박스중앙(주)플러스엠,20170841,드라마,임순례,11447,김태리|류준열|문소리|진기주|,8.76,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154449,15,0
227,골든슬럼버,20180214,11412768798,1387508,833,43015,씨제이이앤엠(주),20168250,범죄,노동석,6084,강동원|김의성|한효주|김성균|김대명|,5.26,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158112,0,0
228,궁합,20180228,10478875438,1340117,966,52465,씨제이이앤엠(주),20150969,코미디,홍창표,23869,심은경|이승기|,6.48,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141206,0,0
229,사라진 밤,20180307,10697981316,1315726,925,60136,씨네그루(주)키다리이엔티,20178781,스릴러,이창희,10544,김상경|김강우|김희애|,7.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=165026,0,0
230,바람 바람 바람,20180405,9784385375,1194229,985,57969,(주)넥스트엔터테인먼트월드(NEW),20153447,코미디,이병헌,6165,이성민|신하균|송지효|이엘|,6.11,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142739,2,0
231,챔피언,20180501,9471138230,1128774,874,47357,워너브러더스 코리아(주),20189783,드라마,김용완,29365,마동석|권율|한예리|,6.34,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169347,1,0
232,염력,20180131,7484684112,990111,1099,45676,(주)넥스트엔터테인먼트월드(NEW),20168323,드라마,연상호,7902,류승룡|심은경|,5.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153651,18,2
233,인랑,20180725,7006622673,898945,1085,25427,워너브러더스 코리아(주),20170942,SF,김지운,10195,강동원|한효주|정우성|김무열|,3.85,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109906,37,4
234,레슬러,20180509,6481379657,771141,957,43149,롯데쇼핑㈜롯데엔터테인먼트,20177005,드라마,김대웅,8150,유해진|김민재|이성경|,4.86,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159877,0,0
235,상류사회,20180829,6312258163,768249,867,41705,롯데컬처웍스(주)롯데엔터테인먼트,20177537,드라마,변혁,11005,박해일|수애|,4.29,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172010,0,0
236,물괴,20180912,6108426954,723951,1184,46082,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티",20156554,액션,허종호,7215,김명민|김인권|혜리|최우식|,4.87,https://movie.naver.com/movie/bi/mi/basic.nhn?code=132996,2,0
237,미쓰백,20181011,6038591066,722004,671,41969,(주)리틀빅픽쳐스,20189067,드라마,이지원,7084,한지민|김시아|이희준|,9.12,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155356,1,0
238,버닝,20180517,4716313098,528372,739,26511,CGV아트하우스,20173202,미스터리,이창동,14642,유아인|스티븐 연|전종서|,6.58,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155263,69,0
239,7년의 밤,20180328,3969337524,528007,872,26817,씨제이이앤엠(주),20154908,스릴러,추창민,13150,장동건|류승룡|송새벽|고경표|,4.82,https://movie.naver.com/movie/bi/mi/basic.nhn?code=85578,14,1
240,변산,20180704,4016562273,490519,763,27504,메가박스중앙(주)플러스엠,20174369,드라마,이준익,7676,박정민|김고은|,7.66,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164151,97,8
241,동네사람들,20181107,3808719612,460381,731,23590,(주)리틀빅픽쳐스,20170513,액션,임진순,37499,마동석|김새론|,5.56,https://movie.naver.com/movie/bi/mi/basic.nhn?code=166610,0,0
242,원더풀 고스트,20180926,3720931600,450374,351,13999,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",20167903,코미디,조원희,3365,마동석|김영광|이유영|,6.77,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152156,0,0
243,흥부: 글로 세상을 바꾼 자,20180214,3381050200,416303,627,18707,롯데쇼핑㈜롯데엔터테인먼트,20176121,사극,조근현,780,정우|김주혁|정진영|,4.44,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159805,9,0
244,도어락,20181205,3146995754,395313,913,12644,메가박스중앙(주)플러스엠,20179230,스릴러,이권,4619,공효진|김예원|김성오|,6.57,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171755,0,0
